,Name of movie,Genres,Year of release,Watch time,Movie Rating,Meta score,Votes
245,Room,"Drama, Thriller            ",I 2015,118,8.1,86,"430,922"
246,Đường Đua Nghẹt Thở,"Action, Biography, Drama            ",I 2013,123,8.1,74,"490,159"
247,Kẻ Săn Hươu,"Drama, War            ",1978,183,8.1,86,"346,164"
248,Giai Điệu Hạnh Phúc,"Biography, Drama, Family            ",1965,172,8.1,63,"244,051"
249,Barry Lyndon,"Adventure, Drama, War            ",1975,185,8.1,89,"173,353"
250,12 Năm Nô Lệ,"Biography, Drama, History            ",2013,134,8.1,96,"714,626"
251,Ngọt Và Đắng,Drama            ,2008,116,8.1,72,"788,393"
252,Bò Đực Nổi Điên,"Biography, Drama, Sport            ",1980,129,8.1,90,"362,406"
253,Tâm trạng khi yêu,"Drama, Romance            ",2000,98,8.1,87,"156,320"
254,Stalker,"Drama, Sci-Fi            ",1979,162,8.1,83,"138,153"
255,Relatos salvajes,"Comedy, Drama, Thriller            ",2014,122,8.1,77,"204,688"
256,Bức Chân Dung Bị Thiêu Cháy,Drama            ,2019,122,8.1,95,"98,413"
257,Hachiko: Chú Chó Trung Thành,"Biography, Drama, Family            ",2009,93,8.1,^^^^^^,"294,181"
258,Cool Hand Luke,"Crime, Drama            ",1967,127,8.1,92,"181,344"
259,Hàng Xóm Của Tôi Là Totoro,"Animation, Comedy, Family            ",1988,86,8.1,86,"351,533"
260,La haine,"Crime, Drama            ",1995,98,8.1,^^^^^^,"180,887"
261,Ben-Hur: Truyền Thuyết Đức Chúa Trời,"Adventure, Drama            ",1959,212,8.1,90,"244,810"
262,Dáng Hình Thanh Âm,"Animation, Drama            ",2016,130,8.1,78,"89,020"
263,Trước Lúc Hoàng Hôn,"Drama, Romance            ",2004,80,8.1,90,"273,190"
264,Network,Drama            ,1976,121,8.1,83,"163,196"
265,Người Máy Khổng Lồ,"Animation, Action, Adventure            ",1999,86,8.1,85,"208,203"
266,"Paris, Texas",Drama            ,1984,145,8.1,81,"110,310"
267,In the Name of the Father,"Biography, Crime, Drama            ",1993,133,8.1,84,"179,566"
268,Khách Sạn Rwanda,"Biography, Drama, History            ",2004,121,8.1,79,"361,462"
269,Cầu Sông Kwai,"Adventure, Drama, War            ",1957,161,8.1,87,"225,311"
270,Phong Ấn Thứ Bảy,"Drama, Fantasy            ",1957,96,8.1,88,"189,522"
271,Amores perros,"Drama, Thriller            ",2000,154,8.1,83,"245,045"
272,The Grapes of Wrath,Drama            ,1940,129,8.1,96,"95,970"
273,Persona,"Drama, Thriller            ",1966,85,8.1,86,"123,329"
274,Rebecca,"Drama, Film-Noir, Mystery            ",1940,130,8.1,86,"140,570"
275,Paper Moon,"Comedy, Crime, Drama            ",1973,102,8.1,77,"49,620"
276,All Quiet on the Western Front,"Drama, War            ",1930,152,8.1,91,"65,390"
277,On the Waterfront,"Crime, Drama, Thriller            ",1954,108,8.1,91,"158,284"
278,Người Thứ Ba,"Film-Noir, Mystery, Thriller            ",1949,104,8.1,97,"175,127"
279,Neon Genesis Evangelion: The End of Evangelion,"Animation, Action, Drama            ",1997,87,8.1,^^^^^^,"58,320"
280,The Man Who Shot Liberty Valance,"Drama, Western            ",1962,123,8.1,94,"78,830"
281,Festen,Drama            ,1998,105,8.1,82,"89,852"
282,Mary Và Max,"Animation, Comedy, Drama            ",2009,92,8.1,^^^^^^,"180,542"
283,Ba Sắc Màu: Đỏ,"Drama, Mystery, Romance            ",1994,99,8.1,100,"106,149"
284,The Best Years of Our Lives,"Drama, Romance, War            ",1946,170,8.1,93,"66,944"
285,Chuyện Xảy Ra Trong Đêm,"Comedy, Romance            ",1934,105,8.1,87,"107,027"
286,Peekay Ngây Thơ,"Comedy, Drama, Sci-Fi            ",2014,153,8.1,^^^^^^,"192,788"
287,Bajrangi Bhaijaan,"Action, Adventure, Comedy            ",2015,163,8.1,^^^^^^,"91,703"
288,400 Cú Đấm,"Crime, Drama            ",1959,99,8.1,^^^^^^,"121,852"
289,Smultronstället,"Drama, Romance            ",1957,91,8.1,88,"109,821"
290,Nơi Tất Cả Chỉ Là Những Giấc Mơ,Drama            ,1982,188,8.1,100,"65,354"
291,Đôi Giày Đỏ,"Drama, Music, Romance            ",1948,135,8.1,^^^^^^,"36,745"
292,Mr. Smith Goes to Washington,"Comedy, Drama            ",1939,129,8.1,73,"117,444"
293,Bá Vương Biệt Cơ,"Drama, Music, Romance            ",1993,171,8.1,83,"30,732"
294,Nhất Nhất,"Drama, Romance            ",2000,173,8.1,94,"26,133"
295,La battaglia di Algeri,"Drama, War            ",1966,121,8.1,96,"62,291"
296,Kakushi-toride no san-akunin,"Action, Adventure, Drama            ",1958,139,8.1,89,"40,369"
297,A Woman Under the Influence,"Drama, Romance            ",1974,155,8.1,88,"26,689"
298,Dil Chahta Hai,"Comedy, Drama, Romance            ",2001,183,8.1,^^^^^^,"73,721"
299,Underground,"Comedy, Drama, Fantasy            ",1995,170,8.1,79,"59,566"
300,Inherit the Wind,"Biography, Drama, History            ",1960,128,8.1,75,"31,382"
301,The Message,"Biography, Drama, History            ",1976,177,8.1,^^^^^^,"48,950"
302,Kumonosu-jô,Drama            ,1957,110,8.1,^^^^^^,"53,731"
303,Lagaan: Once Upon a Time in India,"Drama, Musical, Sport            ",2001,224,8.1,84,"116,796"
304,Les diaboliques,"Crime, Drama, Horror            ",1955,117,8.1,^^^^^^,"67,290"
305,Những Đứa Con Của Sói,"Animation, Drama, Family            ",2012,117,8.1,71,"46,794"
306,The General,"Action, Adventure, Comedy            ",1926,67,8.1,^^^^^^,"93,698"
307,Andrei Rublev,"Biography, Drama, History            ",1966,205,8.1,^^^^^^,"55,121"
308,Kis Uykusu,Drama            ,2014,196,8.1,88,"53,010"
309,Sunrise: A Song of Two Humans,"Drama, Romance            ",1927,94,8.1,95,"52,272"
310,Barfi!,"Comedy, Drama, Romance            ",2012,151,8.1,^^^^^^,"83,895"
311,Dom za vesanje,"Comedy, Crime, Drama            ",1988,142,8.1,^^^^^^,"31,652"
312,White Heat,"Action, Crime, Drama            ",1949,114,8.1,^^^^^^,"34,219"
313,A Wednesday,"Action, Crime, Drama            ",2008,104,8.1,^^^^^^,"80,124"
314,Cuộc Săn Vàng,"Adventure, Comedy, Drama            ",1925,95,8.1,^^^^^^,"113,702"
315,Jungfrukällan,Drama            ,1960,89,8.1,^^^^^^,"30,341"
316,Masaan,Drama            ,2015,109,8.1,^^^^^^,"29,233"
317,Đèn Lồng Đỏ Treo Cao,"Drama, Romance            ",1991,125,8.1,^^^^^^,"33,875"
318,Höstsonaten,"Drama, Music            ",1978,99,8.1,^^^^^^,"35,774"
319,Nu Hoang An Do,"Adventure, Comedy, Drama            ",2013,146,8.1,^^^^^^,"66,970"
320,Rang De Basanti,"Comedy, Crime, Drama            ",2006,167,8.1,^^^^^^,"120,382"
321,Le notti di Cabiria,Drama            ,1957,110,8.1,^^^^^^,"50,322"
322,Chak De! India,"Drama, Family, Sport            ",2007,153,8.1,68,"82,154"
323,Talvar,"Crime, Drama, Mystery            ",2015,132,8.1,^^^^^^,"36,409"
324,Sholay,"Action, Adventure, Comedy            ",1975,204,8.1,^^^^^^,"57,002"
325,Ace in the Hole,"Drama, Film-Noir            ",1951,111,8.1,72,"37,378"
326,Article 15,"Crime, Drama, Mystery            ",2019,130,8.1,^^^^^^,"35,053"
327,La Grande Illusion,"Drama, War            ",1937,113,8.1,^^^^^^,"37,604"
328,Pink,"Crime, Drama, Thriller            ",III 2016,136,8.1,^^^^^^,"46,368"
329,Du rififi chez les hommes,"Crime, Drama, Thriller            ",1955,118,8.1,97,"35,528"
330,Trang Trại,"Comedy, Drama            ",1986,120,8.1,^^^^^^,"26,619"
331,Mandariinid,"Drama, War            ",2013,87,8.1,73,"47,467"
332,Munna Bhai M.B.B.S.,"Comedy, Drama            ",2003,156,8.1,^^^^^^,"84,405"
333,Rạp Xiếc,"Comedy, Family, Romance            ",1928,72,8.1,90,"34,788"
334,Hera Pheri,"Action, Comedy, Crime            ",2000,156,8.1,^^^^^^,"69,291"
335,Eskiya,"Crime, Drama, Thriller            ",1996,128,8.1,^^^^^^,"70,814"
336,Người Tình Mất Tích,"Mystery, Thriller            ",2012,122,8.1,^^^^^^,"63,965"
337,Udaan,Drama            ,2010,134,8.1,^^^^^^,"45,821"
338,OMG: Oh My God!,"Comedy, Drama, Fantasy            ",2012,125,8.1,^^^^^^,"60,600"
339,Black,Drama            ,2005,122,8.1,^^^^^^,"35,458"
340,Sarfarosh,"Action, Drama, Thriller            ",1999,174,8.1,^^^^^^,"26,199"
341,Anand,"Drama, Musical            ",1971,122,8.1,^^^^^^,"34,385"
342,Her Sey Çok Güzel Olacak,"Comedy, Drama, Thriller            ",1998,107,8.1,^^^^^^,"26,238"
343,Vệ Binh Dải Ngân Hà,"Action, Adventure, Comedy            ",2014,121,8.0,76,"1,209,698"
344,Hành Tinh Cát,"Action, Adventure, Drama            ",2021,155,8.0,74,"672,125"
345,Tội Phạm Nhân Bản 2049,"Action, Drama, Mystery            ",2017,164,8.0,81,"601,295"
346,Giai Điệu Con Tim,"Comedy, Drama, Music            ",2021,111,8.0,72,"145,281"
347,Thiên Nga Đen,"Drama, Thriller            ",2010,108,8.0,79,"787,217"
348,Deadpool,"Action, Comedy            ",2016,108,8.0,65,"1,065,040"
349,Hạnh Phúc Ảo,"Drama, Romance, Sci-Fi            ",2013,126,8.0,91,"634,355"
350,Cô Dâu Công Chúa,"Adventure, Comedy, Family            ",1987,98,8.0,77,"435,440"
351,Người Về Từ Sao Hỏa,"Adventure, Drama, Sci-Fi            ",2015,144,8.0,80,"877,346"
352,Liên Minh Công Lý - Phiên bản của Zack Snyder,"Action, Adventure, Fantasy            ",2021,242,8.0,54,"411,517"
353,Avengers: Biệt Đội Siêu Anh Hùng,"Action, Sci-Fi            ",2012,143,8.0,69,"1,413,515"
354,Donnie Darko,"Drama, Mystery, Sci-Fi            ",2001,113,8.0,88,"818,144"
355,Những Kẻ Khờ Mộng Mơ,"Comedy, Drama, Music            ",2016,128,8.0,94,"613,596"
356,Hương Mộc Lan,Drama            ,1999,188,8.0,78,"318,956"
357,Phi Vụ Động Trời,"Animation, Adventure, Comedy            ",2016,108,8.0,78,"514,941"
358,Thành Phố Tội Ác,"Crime, Thriller            ",2005,124,8.0,74,"778,473"
359,Sòng Bạc Hoàng Gia,"Action, Adventure, Thriller            ",2006,144,8.0,80,"669,974"
360,Khiêu Vũ Với Bầy Sói,"Adventure, Drama, Western            ",1990,181,8.0,72,"275,773"
361,Gia Đình Siêu Nhân,"Animation, Action, Adventure            ",2004,115,8.0,90,"759,312"
362,Người Về Từ Cõi Chết,"Action, Adventure, Drama            ",2015,156,8.0,76,"826,111"
363,Hương Đàn Bà,Drama            ,1992,156,8.0,59,"309,007"
364,Sinh Viên Tốt Nghiệp,"Comedy, Drama, Romance            ",1967,106,8.0,83,"279,573"
365,Người Giải Mã,"Biography, Drama, Thriller            ",2014,114,8.0,71,"787,605"
366,Aladdin,"Animation, Adventure, Comedy            ",1992,90,8.0,86,"435,232"
367,Hành Tinh Khỉ,"Adventure, Sci-Fi            ",1968,112,8.0,79,"184,966"
368,12 Con Khỉ,"Mystery, Sci-Fi, Thriller            ",1995,129,8.0,74,"628,607"
369,Ngày Chuột Chũi,"Comedy, Drama, Fantasy            ",1993,101,8.0,72,"649,230"
370,Rio Bravo,"Drama, Western            ",1959,141,8.0,93,"64,965"
371,Cuộc Sống Nhiệm Màu,"Animation, Adventure, Comedy            ",2020,100,8.0,83,"344,127"
372,Người Đẹp Và Quái Vật,"Animation, Family, Fantasy            ",1991,84,8.0,95,"463,546"
373,Người Đàn Ông Trong Mưa,Drama            ,1988,133,8.0,65,"525,922"
374,Mưu Cầu Hạnh Phúc,"Biography, Drama            ",2006,117,8.0,64,"529,441"
375,Màu Của Ảo Giác,"Animation, Crime, Drama            ",1997,81,8.0,67,"83,286"
376,Cá Lớn,"Adventure, Drama, Fantasy            ",2003,125,8.0,58,"447,744"
377,Trùng Khánh Sâm Lâm,"Comedy, Crime, Drama            ",1994,102,8.0,78,"87,509"
378,Nhà Vua Nói Lắp,"Biography, Drama, History            ",2010,118,8.0,88,"691,089"
379,Thị Trấn Dogville,"Crime, Drama            ",2003,178,8.0,59,"152,773"
380,Kim Cương Máu,"Adventure, Drama, Thriller            ",2006,143,8.0,64,"562,834"
381,Triệu Phú Ổ Chuột,"Crime, Drama, Romance            ",2008,120,8.0,84,"857,800"
382,JFK,"Drama, History, Thriller            ",1991,189,8.0,72,"161,635"
383,Cô Dâu Báo Thù 2,"Action, Crime, Thriller            ",2004,137,8.0,83,"772,683"
384,Rosemary's Baby,"Drama, Horror            ",1968,137,8.0,96,"223,162"
385,Akira,"Animation, Action, Drama            ",1988,124,8.0,67,"193,084"
386,Life of Brian,Comedy            ,1979,94,8.0,77,"408,206"
387,Buổi Chiều Xui Xẻo,"Biography, Crime, Drama            ",1975,125,8.0,86,"263,323"
388,Sát Thủ Vô Hình,"Crime, Drama, Mystery            ",2016,106,8.0,^^^^^^,"182,418"
389,Do the Right Thing,"Comedy, Drama            ",1989,120,8.0,93,"105,967"
390,Frankenstein Trẻ,Comedy            ,1974,106,8.0,83,"162,508"
391,Siêu Điệp Viên 3: Tối Hậu Thư Của Bourne,"Action, Mystery, Thriller            ",2007,115,8.0,85,"643,415"
392,Butch Cassidy and the Sundance Kid,"Biography, Crime, Drama            ",1969,110,8.0,66,"220,484"
393,Lion,"Biography, Drama            ",2016,118,8.0,69,"242,300"
394,Diệp Vấn,"Action, Biography, Drama            ",2008,106,8.0,59,"228,053"
395,Sóng Gió Cuộc Đời,Drama            ,1996,135,8.0,84,"96,016"
396,Người Tù Khổ Sai,"Biography, Crime, Drama            ",1973,151,8.0,58,"133,956"
397,Bãhubali: The Beginning,"Action, Drama            ",2015,159,8.0,^^^^^^,"129,665"
398,Huyền Thoại 1900,"Drama, Music, Romance            ",1998,169,8.0,58,"66,477"
399,Roman Holiday,"Comedy, Romance            ",1953,118,8.0,78,"142,252"
400,Annie Hall,"Comedy, Romance            ",1977,93,8.0,92,"270,079"
401,The Last Picture Show,"Drama, Romance            ",1971,118,8.0,93,"49,894"
402,Chim Ưng Malta,"Crime, Film-Noir, Mystery            ",1941,100,8.0,97,"162,028"
403,Fiddler on the Roof,"Drama, Family, Musical            ",1971,181,8.0,67,"45,326"
404,Võ Sĩ Quyền Anh,"Biography, Drama, Romance            ",2005,144,8.0,69,"192,086"
405,Dieu Gi Da Xay Ra Voi Baby Jane?,"Drama, Horror, Thriller            ",1962,134,8.0,75,"58,695"
406,Pink Floyd: The Wall,"Drama, Fantasy, Music            ",1982,95,8.0,47,"82,880"
407,Solaris,"Drama, Mystery, Sci-Fi            ",1972,167,8.0,93,"94,269"
408,Being There,"Comedy, Drama            ",1979,130,8.0,83,"74,687"
409,Der Himmel über Berlin,"Drama, Fantasy, Romance            ",1987,128,8.0,79,"73,290"
410,Nàng Công Chúa Ở Thung Lũng Gió,"Animation, Adventure, Sci-Fi            ",1984,117,8.0,86,"173,713"
411,Mommy,Drama            ,I 2014,139,8.0,74,"59,044"
412,Trưa Hè Nóng Bỏng,"Drama, Thriller, Western            ",1952,85,8.0,89,"106,742"
413,Laputa: Lâu Đài Trên Không,"Animation, Adventure, Family            ",1986,125,8.0,78,"171,526"
414,Ai Sợ Virginia Woolf?,Drama            ,1966,131,8.0,75,"77,354"
415,8½,Drama            ,1963,138,8.0,93,"120,973"
416,Sói Lang Thang,"Animation, Action, Adventure            ",2020,103,8.0,87,"34,970"
417,Cuộc Đời Gandhi,"Biography, Drama, History            ",1982,191,8.0,79,"236,049"
418,La dolce vita,"Comedy, Drama            ",1960,174,8.0,95,"75,378"
419,The Straight Story,"Biography, Drama            ",1999,112,8.0,86,"93,021"
420,Vô Gian Đạo,"Action, Crime, Drama            ",2002,101,8.0,75,"127,438"
421,Anatomy of a Murder,"Drama, Mystery            ",1959,161,8.0,95,"68,283"
422,Đêm Của Kẻ Đi Săn,"Crime, Drama, Film-Noir            ",1955,92,8.0,97,"92,154"
423,Ngọn Đuốc Của Quỷ,"Crime, Drama, Film-Noir            ",1958,95,8.0,99,"106,808"
424,Zerkalo,"Biography, Drama            ",1975,107,8.0,82,"49,039"
425,Out of the Past,"Crime, Drama, Film-Noir            ",1947,97,8.0,85,"38,818"
426,Secrets & Lies,"Comedy, Drama            ",1996,136,8.0,91,"44,901"
427,Das Cabinet des Dr. Caligari,"Horror, Mystery, Thriller            ",1920,76,8.0,^^^^^^,"66,468"
428,The Hustler,"Drama, Sport            ",1961,134,8.0,90,"84,054"
429,Con Báo,"Drama, History            ",1963,186,8.0,100,"27,260"
430,Aida Và Cuộc Đàm Phán Sinh Tử,"Drama, History, War            ",2020,101,8.0,97,"35,724"
431,Fitzcarraldo,"Adventure, Drama            ",1982,158,8.0,^^^^^^,"36,373"
432,Sweet Smell of Success,"Drama, Film-Noir            ",1957,96,8.0,100,"33,660"
433,Chuyện Công Chúa Kaguya,"Animation, Drama, Family            ",2013,137,8.0,89,"49,512"
434,Cô Nàng Ngổ Ngáo,"Comedy, Drama, Romance            ",2001,137,8.0,^^^^^^,"49,235"
435,Biệt Đội Tinh Nhuệ,"Action, Crime, Drama            ",2007,115,8.0,33,"106,595"
436,Song of the Sea,"Animation, Adventure, Drama            ",2014,93,8.0,85,"60,464"
437,Giấc Mơ Kỳ Lạ,"Animation, Biography, Drama            ",2007,96,8.0,90,"96,975"
438,Le Samouraï,"Crime, Drama, Thriller            ",1967,105,8.0,^^^^^^,"53,451"
439,Dare mo shiranai,Drama            ,2004,141,8.0,88,"29,322"
440,Mar adentro,"Biography, Drama            ",I 2004,126,8.0,74,"83,316"
441,Stalag 17,"Comedy, Drama, War            ",1953,120,8.0,84,"57,028"
442,Tiếng Chuông Lặng Và Cánh Bướm,"Biography, Drama            ",2007,112,8.0,92,"108,840"
443,Brief Encounter,"Drama, Romance            ",1945,86,8.0,92,"41,769"
444,Sleuth,"Mystery, Thriller            ",1972,138,8.0,^^^^^^,"48,776"
445,Thời Thơ Ấu Của Ivan,"Drama, War            ",1962,95,8.0,^^^^^^,"38,006"
446,Dilwale Dulhania Le Jayenge,"Drama, Romance            ",1995,189,8.0,^^^^^^,"72,850"
447,Nostalgia,Drama            ,1983,125,8.0,^^^^^^,"28,361"
448,Người Tiễn Đưa,Drama            ,2008,130,8.0,68,"53,298"
449,La Strada,Drama            ,1954,108,8.0,^^^^^^,"64,723"
450,"Crna macka, beli macor","Comedy, Crime, Romance            ",1998,127,8.0,73,"55,084"
451,Viskningar och rop,Drama            ,1972,91,8.0,^^^^^^,"35,389"
452,"Xuân, Hạ, Thu, Đông... Rồi Lại Xuân","Drama, Romance            ",2003,103,8.0,85,"84,703"
453,Tạm Biệt Những Đứa Trẻ,"Drama, War            ",1987,104,8.0,88,"34,873"
454,Cây Lê Dại,Drama            ,2018,188,8.0,86,"25,514"
455,Kind Hearts and Coronets,"Comedy, Crime            ",1949,106,8.0,^^^^^^,"38,460"
456,El ángel exterminador,"Drama, Fantasy            ",1962,95,8.0,^^^^^^,"34,113"
457,Haider,"Action, Crime, Drama            ",2014,160,8.0,^^^^^^,"56,020"
458,Biệt Đội Tinh Nhuệ 2: Kẻ Thù Bên Trong,"Action, Crime, Drama            ",2010,115,8.0,71,"84,658"
459,The Shop Around the Corner,"Comedy, Drama, Romance            ",1940,99,8.0,96,"35,411"
460,Roma città aperta,"Drama, Thriller, War            ",1945,103,8.0,^^^^^^,"27,616"
461,Sanjuro,"Action, Drama, Thriller            ",1962,96,8.0,^^^^^^,"39,375"
462,Central do Brasil,Drama            ,1998,110,8.0,80,"40,791"
463,G.O.R.A.,"Adventure, Comedy, Sci-Fi            ",2004,127,8.0,^^^^^^,"64,470"
464,Cờ Thái Cực Giương Cao,"Action, Drama, War            ",2004,140,8.0,64,"40,334"
465,Nattvardsgästerna,Drama            ,1963,81,8.0,^^^^^^,"25,928"
466,Nefes: Vatan Sagolsun,"Action, Drama, Thriller            ",2009,128,8.0,^^^^^^,"34,357"
467,Andaz Apna Apna,"Action, Comedy, Romance            ",1994,160,8.0,^^^^^^,"54,159"
468,Vizontele,"Comedy, Drama            ",2001,110,8.0,^^^^^^,"37,622"
469,Special Chabbis,"Crime, Drama, Thriller            ",2013,144,8.0,^^^^^^,"57,422"
470,Lage Raho Munna Bhai,"Comedy, Drama, Romance            ",2006,144,8.0,^^^^^^,"48,119"
471,Cuộc Chiến Đa Vũ Trụ,"Action, Adventure, Comedy            ",2022,139,7.9,81,"442,436"
472,Mèo Đi Hia: Điều Ước Cuối Cùng,"Animation, Adventure, Comedy            ",2022,102,7.9,73,"126,484"
473,Titanic,"Drama, Romance            ",1997,194,7.9,75,"1,217,106"
474,Avatar,"Action, Adventure, Fantasy            ",2009,162,7.9,83,"1,340,251"
475,Kẻ Đâm Lén,"Comedy, Crime, Drama            ",2019,130,7.9,82,"725,259"
476,Người Sắt,"Action, Adventure, Sci-Fi            ",2008,126,7.9,79,"1,080,175"
477,Bohemian Rhapsody: Huyền Thoại Ngôi Sao Nhạc Rock,"Biography, Drama, Music            ",2018,134,7.9,49,"554,775"
478,Cuộc Đổ Bộ Bí Ẩn,"Drama, Mystery, Sci-Fi            ",II 2016,116,7.9,81,"716,977"
479,Ảo Mộng Thiên Đường,"Drama, Mystery, Thriller            ",2001,147,7.9,86,"366,149"
480,Nhóc Jojo,"Comedy, Drama, War            ",2019,108,7.9,58,"408,776"
481,Đêm Ăn Chơi,Drama            ,1997,155,7.9,85,"272,264"
482,Harry Potter và Tên Tù Nhân Ngục Azkaban,"Adventure, Family, Fantasy            ",2004,142,7.9,82,"653,992"
483,Gia Đình Nhà Cáo,"Animation, Adventure, Comedy            ",2009,87,7.9,83,"244,297"
484,Gần Như Nổi Tiếng,"Adventure, Comedy, Drama            ",2000,122,7.9,90,"283,126"
485,Thor: Tận Thế Ragnarok,"Action, Adventure, Comedy            ",2017,130,7.9,74,"773,678"
486,Gã Chằn Tinh Tốt Bụng,"Animation, Adventure, Comedy            ",2001,90,7.9,84,"698,116"
487,Cuộc Chiến Luân Hồi,"Action, Adventure, Sci-Fi            ",2014,113,7.9,71,"697,752"
488,Câu Chuyện Tuổi Teen,Drama            ,2012,103,7.9,67,"525,464"
489,Cặp Đôi Sát Thủ Ở Bruges,"Comedy, Crime, Drama            ",2008,107,7.9,67,"444,587"
490,True Romance,"Crime, Drama, Romance            ",1993,119,7.9,59,"232,849"
491,Star Trek: Du Hành Giữa Các Vì Sao,"Action, Adventure, Sci-Fi            ",2009,127,7.9,82,"609,820"
492,Điều Kỳ Diệu,"Drama, Family            ",I 2017,113,7.9,66,"170,031"
493,Những Đứa Trẻ Thời Chiến,"Action, Drama, Sci-Fi            ",2006,109,7.9,84,"510,883"
494,E.T: Sinh vật Ngoài Hành Tinh,"Adventure, Family, Sci-Fi            ",1982,115,7.9,91,"420,067"
495,Siêu Điệp Viên 1: Danh Tính Của Bourne,"Action, Mystery, Thriller            ",2002,119,7.9,68,"557,985"
496,Khu vực 9,"Action, Sci-Fi, Thriller            ",2009,112,7.9,81,"693,987"
